year,school,subject,download_url
111,"國立臺灣大學-生醫電子與資訊學研究所丙組",計算機概論（B）,"https://master.get.com.tw/exam/Download.ashx?iP=91570&iDP=69521&iS=3272"
111,"國立政治大學-數位內容碩士學位學程資訊技術組",計算機概論與程式設計,"https://master.get.com.tw/exam/Download.ashx?iP=91811&iDP=69300&iS=4651"
111,"國立臺灣大學-生物機電系碩士班丙組",計算機概論（A）,"https://master.get.com.tw/exam/Download.ashx?iP=91449&iDP=69461&iS=3368"
111,"國立臺灣大學-地質科學系碩士班應用地質組",計算機概論（B）,"https://master.get.com.tw/exam/Download.ashx?iP=90987&iDP=69377&iS=3272"
111,"國立臺灣大學-圖書資訊系碩士班",電子計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=90920&iDP=69354&iS=3037"
111,"國立政治大學-資訊管理學系碩士班科技組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=91763&iDP=69328&iS=3086"
111,"國立政治大學-資訊管理學系碩士班資管組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=91762&iDP=70338&iS=3086"
110,"國立政治大學-資訊管理學系碩士班科技組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=90639&iDP=58658&iS=3086"
110,"國立政治大學-資訊管理學系碩士班資管組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=90637&iDP=62756&iS=3086"
110,"國立政治大學-數位內容碩士學位學程資訊技術組",計算機概論與程式設計,"https://master.get.com.tw/exam/Download.ashx?iP=90602&iDP=58630&iS=4651"
110,"國立政治大學-數位內容碩士學位學程資訊技術組",計算機概論與程式設計,"https://master.get.com.tw/exam/Download.ashx?iP=90531&iDP=58630&iS=4651"
110,"國立政治大學-圖書資訊與檔案學研究所圖書資訊學組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=90504&iDP=58620&iS=3086"
110,"國立政治大學-圖書資訊與檔案學研究所檔案學組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=90504&iDP=58621&iS=3086"
110,"國立臺灣大學-圖書資訊系碩士班",電子計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=90674&iDP=58684&iS=3037"
109,"國立臺北科技大學-資訊工程研究所",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=90274&iDP=62116&iS=3086"
109,"國立臺北科技大學-電機工程研究所甲組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=90275&iDP=60749&iS=3086"
109,"國立臺南大學-資訊工程學系碩士班",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=90379&iDP=62121&iS=3086"
109,"國立雲林科技大學-資訊工程研究所",計算機概論（2）,"https://master.get.com.tw/exam/Download.ashx?iP=90037&iDP=62102&iS=5062"
109,"國立中央警察大學-資訊管理研究所",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=90336&iDP=60535&iS=3086"
109,"國立臺北科技大學-經營管理系研究所不分組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=90243&iDP=60923&iS=3086"
109,"國立臺灣師範大學-科技應用與人力資源發展學系碩士班",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=90207&iDP=60709&iS=3086"
109,"國立臺灣師範大學-圖書資訊學研究所",電子計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=90151&iDP=60686&iS=3037"
109,"國立臺北教育大學-資訊科學碩士班",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=90136&iDP=60735&iS=3086"
109,"國立臺北教育大學-數學暨資訊教育學系數學教育碩士班",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=90130&iDP=60733&iS=3086"
109,"國立雲林科技大學-資訊管理研究所",計算機概論（3）,"https://master.get.com.tw/exam/Download.ashx?iP=90050&iDP=60741&iS=5077"
109,"國立雲林科技大學-電子工程研究所",計算機概論（1）,"https://master.get.com.tw/exam/Download.ashx?iP=90034&iDP=60885&iS=5059"
109,"國立高雄科技大學（第一校區）-電腦與通訊工程系碩士班（乙組）",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=90023&iDP=61710&iS=3086"
109,"國立高雄科技大學（建工校區）-電機工程系碩士班（丙組）",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=90016&iDP=61695&iS=3086"
109,"私立元智大學-電機工程學系碩士班電子工程組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=89037&iDP=61841&iS=3086"
109,"私立元智大學-電機工程學系碩士班控制工程組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=89037&iDP=61842&iS=3086"
109,"私立元智大學-電機工程學系碩士班人工智慧(AI)組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=89037&iDP=61890&iS=3086"
109,"國立成功大學-工程科學系碩士班乙組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=88862&iDP=60340&iS=3086"
109,"國立成功大學-工程科學系碩士班己組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=88862&iDP=60344&iS=3086"
109,"國立成功大學-工程科學系碩士班丙組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=88862&iDP=60341&iS=3086"
109,"國立成功大學-生物醫學工程學系碩士班乙組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=88805&iDP=60332&iS=3086"
109,"國立成功大學-數據科學研究所",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=88772&iDP=61457&iS=3086"
109,"國立成功大學-會計學研究所乙組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=88749&iDP=60254&iS=3086"
